Corrected.Temp.Mid,Temp.Edge
29.43,29.352
29.43,29.352
29.832,29.652
29.832,29.853
29.731,29.853
29.53,29.652
29.631,29.953
29.631,29.953
29.631,29.853
29.631,29.552
29.43,29.152
29.43,29.053
29.33,28.953
29.23,28.853
29.23,28.853
29.23,28.853
29.23,28.754
29.13,28.853
29.13,28.853
29.13,28.754
29.13,28.655
29.13,28.655
29.13,28.655
29.13,28.555
29.13,28.555
29.03,28.456
29.03,28.357
29.03,28.357
29.03,28.357
28.93,28.357
28.93,28.357
28.93,28.357
28.93,28.258
28.93,28.258
28.93,28.159
28.93,28.159
28.831,28.159
28.831,28.159
28.831,28.258
28.831,28.258
28.831,28.258
28.831,28.258
28.831,28.258
28.831,28.357
28.731,28.456
28.831,28.754
28.731,28.953
28.731,29.053
28.731,29.252
28.731,29.452
28.731,29.652
28.631,29.853
28.631,29.953
28.631,29.953
28.631,29.853
28.532,29.652
28.532,29.452
28.532,29.252
28.532,29.053
28.532,28.953
28.532,28.853
28.532,28.853
28.631,28.754
28.532,28.655
28.631,28.555
28.631,28.456
28.631,28.456
28.631,28.357
28.532,28.357
28.532,28.357
